country,year,local_price,dollar_price,hourly_wage_usd,bigmacs_per_hour
Canada,2012,5.12,5.12,9.45858245962312,1.8473793866451405
Chile,2012,2050.0,4.16,2.82947223374187,0.6801615946494879
Colombia,2012,8600.0,4.77,2.60757291950324,0.5466609894136772
Estonia,2012,2.04,2.04,3.71578411805547,1.8214628029683677
France,2012,3.6,3.6,13.4671075887806,3.740863219105722
Greece,2012,2.683,2.68,5.74308880790755,2.1429435850401304
Hungary,2012,830.0,3.49,3.96994658144453,1.1375205104425588
Ireland,2012,3.49,3.49,9.31066373458679,2.6678119583343234
Israel,2012,11.9,2.98,5.87593514292623,1.971790316418198
Japan,2012,320.0,4.1,7.25393477564584,1.7692523843038637
Mexico,2012,37.0,2.85,0.998793861438613,0.3504539864696888
Netherlands,2012,3.38,3.38,12.6823658146715,3.7521792351099115
New Zealand,2012,5.1,5.1,10.3841834682551,2.036114405540216
Poland,2012,9.1,3.03,5.51436602258494,1.8199227797310034
Portugal,2012,4.95,4.95,5.75709142828483,1.1630487733908748
Spain,2012,3.5,3.5,8.52166345536709,2.43476098724774
United States,2012,3.96,3.96,9.24130820466712,2.3336636880472525
Australia,2013,4.7,4.7,12.9781361850971,2.761305571297255
Belgium,2013,3.8,3.8,12.9792157836051,3.415583100948711
Brazil,2013,11.25,11.25,2.14829769647319,0.19095979524206136
Canada,2013,5.41,5.41,9.52088932702279,1.759868637157632
Chile,2013,2050.0,4.35,2.96627312401569,0.6819018675898139
Colombia,2013,8600.0,4.85,2.65885430402386,0.5482173822729609
Costa Rica,2013,2200.0,4.4,3.47922487558351,0.7907329262689795
Estonia,2013,2.7,2.7,3.8161071681204,1.4133730252297776
France,2013,3.6,3.6,13.5238822046141,3.756633945726139
Greece,2013,3.3,3.3,5.60591483446758,1.6987620710507818
Hungary,2013,830.0,3.82,4.11220713974168,1.0764940156391833
Ireland,2013,3.49,3.49,9.26353873559826,2.6543090932946303
Israel,2013,14.9,4.97,5.99513143044492,1.206263869304813
Japan,2013,320.0,3.52,7.35427849019748,2.0892836619879205
Mexico,2013,37.0,3.08,1.00314105190465,0.32569514672228894
Netherlands,2013,3.45,3.45,12.5256450089782,3.6306217417328117
New Zealand,2013,5.2,5.2,10.5055963136131,2.0203069833871345
Poland,2013,9.1,3.03,5.82421522213171,1.9221832416276272
Portugal,2013,2.95,2.95,5.74133624473989,1.9462156761830134
Spain,2013,3.5,3.5,8.45351511548505,2.4152900329957285
United States,2013,4.03,4.03,9.10789281645221,2.2600230313777194
Australia,2013,5.035,5.04,12.9781361850971,2.575027020852599
Belgium,2013,3.7,3.7,12.9792157836051,3.5078961577311083
Brazil,2013,12.0,6.0,2.14829769647319,0.35804961607886504
Canada,2013,5.53,5.53,9.52088932702279,1.7216798059715712
Chile,2013,2000.0,3.94,2.96627312401569,0.7528611989887538
Colombia,2013,8600.0,4.48,2.65885430402386,0.5934942642910401
Costa Rica,2013,2150.0,4.32,3.47922487558351,0.8053761286072939
Estonia,2013,2.75,2.75,3.8161071681204,1.3876753338619636
France,2013,3.9,3.9,13.5238822046141,3.4676621037472053
Greece,2013,2.6,2.6,5.60591483446758,2.1561210901798384
Hungary,2013,860.0,3.77,4.11220713974168,1.0907711245999152
Ireland,2013,3.46,3.46,9.26353873559826,2.6773233339879363
Israel,2013,17.5,5.83,5.99513143044492,1.0283244306080481
Japan,2013,320.0,3.2,7.35427849019748,2.2982120281867124
Mexico,2013,37.0,3.08,1.00314105190465,0.32569514672228894
Netherlands,2013,3.45,3.45,12.5256450089782,3.6306217417328117
New Zealand,2013,5.5,5.5,10.5055963136131,1.9101084206569274
Poland,2013,9.2,3.07,5.82421522213171,1.8971385088376906
Portugal,2013,2.95,2.95,5.74133624473989,1.9462156761830134
Spain,2013,3.5,3.5,8.45351511548505,2.4152900329957285
United States,2013,4.18,4.18,9.10789281645221,2.1789217264239737
Australia,2014,5.05,5.05,13.0154933909223,2.57732542394501
Belgium,2014,3.95,3.95,12.9352356160092,3.2747431939263794
Brazil,2014,12.4,6.2,2.1575031657351,0.3479843815701774
